[2026-05-16 23:00:14] [incremental] 3 datasets | overlap=3 days | workers=6 | parallel=False
[2026-05-16 23:00:14] [incremental] Datasets: ['min_adj_15min', 'min_adj_30min', 'min_adj_60min']
[2026-05-16 23:00:14] 
============================================================
[2026-05-16 23:00:14] [min_adj_15min] Starting incremental update
[2026-05-16 23:00:15] [min_adj_15min] 2542 stocks | 2542 incremental | 0 skipped (no file) | 0 up-to-date
[2026-05-16 23:00:15] [min_adj_15min] [incr] 2542 stocks in 2542 batches (batch_size=1)
[2026-05-16 23:00:15] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.7s
[2026-05-16 23:00:15] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.8s
[2026-05-16 23:00:15] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.8s
[2026-05-16 23:00:16] [min_adj_15min] [incr] 1/2542 | 1 stocks, 64 rows, +0 new | elapsed=1s ETA=2333s | tokens=2.2
[2026-05-16 23:00:16] [min_adj_15min] [incr] 2/2542 | 1 stocks, 64 rows, +0 new | elapsed=1s ETA=1260s | tokens=2.5
[2026-05-16 23:00:16] [min_adj_15min] [incr] 3/2542 | 1 stocks, 64 rows, +0 new | elapsed=1s ETA=909s | tokens=2.9
[2026-05-16 23:00:16] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:16] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:16] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:16] [min_adj_15min] [incr] 4/2542 | 1 stocks, 64 rows, +0 new | elapsed=1s ETA=937s | tokens=1.8
[2026-05-16 23:00:16] [min_adj_15min] [incr] 5/2542 | 1 stocks, 64 rows, +0 new | elapsed=2s ETA=798s | tokens=2.2
[2026-05-16 23:00:16] [min_adj_15min] [incr] 6/2542 | 1 stocks, 64 rows, +0 new | elapsed=2s ETA=704s | tokens=2.7
[2026-05-16 23:00:17] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.2s
[2026-05-16 23:00:17] [min_adj_15min] [incr] 7/2542 | 1 stocks, 64 rows, +0 new | elapsed=2s ETA=777s | tokens=3.9
[2026-05-16 23:00:17] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:17] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:17] [min_adj_15min] [incr] 8/2542 | 1 stocks, 64 rows, +0 new | elapsed=2s ETA=717s | tokens=2.4
[2026-05-16 23:00:17] [min_adj_15min] [incr] 9/2542 | 1 stocks, 64 rows, +0 new | elapsed=2s ETA=666s | tokens=2.9
[2026-05-16 23:00:17] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.3s
[2026-05-16 23:00:17] [min_adj_15min] [incr] 10/2542 | 1 stocks, 64 rows, +0 new | elapsed=3s ETA=709s | tokens=3.9
[2026-05-16 23:00:17] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:18] [min_adj_15min] [incr] 11/2542 | 1 stocks, 64 rows, +0 new | elapsed=3s ETA=669s | tokens=3.4
[2026-05-16 23:00:18] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.6s
[2026-05-16 23:00:18] [min_adj_15min] [incr] 12/2542 | 1 stocks, 64 rows, +0 new | elapsed=3s ETA=652s | tokens=3.3
[2026-05-16 23:00:18] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.3s
[2026-05-16 23:00:18] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.5s
[2026-05-16 23:00:18] [min_adj_15min] [incr] 13/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=687s | tokens=3.4
[2026-05-16 23:00:18] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:18] [min_adj_15min] [incr] 14/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=655s | tokens=2.8
[2026-05-16 23:00:18] [min_adj_15min] [incr] 15/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=622s | tokens=3.1
[2026-05-16 23:00:18] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:18] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.9s
